epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,23014.7,1.62722,0.90698,0.90563,0.96124,0.8442,0.91331,0.46354,1.62436,0.79296,0.94006,0.0002806,0.0002806,0.0002806
111,23229.9,1.61917,0.90353,0.91121,0.93693,0.85845,0.91014,0.44358,1.65182,0.78426,0.94067,0.000274,0.000274,0.000274
112,23457.6,1.63042,0.90053,0.9037,0.92544,0.86134,0.91706,0.46049,1.60993,0.76896,0.93532,0.0002674,0.0002674,0.0002674
113,23670.7,1.64222,0.90151,0.91298,0.94199,0.8636,0.91773,0.46215,1.60934,0.77306,0.93515,0.0002608,0.0002608,0.0002608
114,23898.2,1.59492,0.88102,0.89215,0.91799,0.87725,0.91931,0.47247,1.61514,0.78184,0.93344,0.0002542,0.0002542,0.0002542
115,24112.4,1.57038,0.86433,0.90372,0.93991,0.86596,0.91156,0.45654,1.64042,0.77172,0.93645,0.0002476,0.0002476,0.0002476
116,24338.5,1.57755,0.86333,0.90736,0.94986,0.86869,0.92395,0.46378,1.6283,0.76494,0.93629,0.000241,0.000241,0.000241
117,24552.5,1.64086,0.88751,0.90466,0.91667,0.8769,0.91132,0.46678,1.57633,0.76004,0.93032,0.0002344,0.0002344,0.0002344
118,24779.4,1.57353,0.85857,0.90461,0.95505,0.85066,0.92073,0.47901,1.56757,0.78128,0.93201,0.0002278,0.0002278,0.0002278
119,24993.9,1.56698,0.84891,0.89805,0.94771,0.87283,0.92482,0.48471,1.5666,0.75999,0.93023,0.0002212,0.0002212,0.0002212
120,25220.6,1.61064,0.88911,0.90469,0.94838,0.85604,0.91648,0.45943,1.62029,0.77087,0.93155,0.0002146,0.0002146,0.0002146
121,25433.9,1.57984,0.87065,0.90479,0.92684,0.88138,0.91962,0.47182,1.59363,0.75621,0.93545,0.000208,0.000208,0.000208
122,25660.6,1.5826,0.85568,0.90333,0.94267,0.88752,0.92901,0.47891,1.5987,0.74973,0.93187,0.0002014,0.0002014,0.0002014
123,25874.2,1.57891,0.85755,0.90001,0.9291,0.88543,0.92206,0.47266,1.6066,0.74802,0.93103,0.0001948,0.0001948,0.0001948
124,26101.1,1.57631,0.84353,0.90242,0.93979,0.88149,0.92595,0.47207,1.59334,0.76096,0.92874,0.0001882,0.0001882,0.0001882
125,26315.4,1.54533,0.83364,0.90437,0.94873,0.87658,0.92481,0.47337,1.58388,0.76058,0.92741,0.0001816,0.0001816,0.0001816
126,26542.5,1.54166,0.81809,0.9034,0.9587,0.87071,0.92238,0.46684,1.6388,0.7485,0.93339,0.000175,0.000175,0.000175
127,26754.8,1.57847,0.85484,0.89884,0.93091,0.88685,0.91988,0.47099,1.6206,0.7478,0.9337,0.0001684,0.0001684,0.0001684
128,26981.5,1.53119,0.82139,0.89343,0.9347,0.86809,0.91623,0.456,1.65269,0.76015,0.94132,0.0001618,0.0001618,0.0001618
129,27193.5,1.55039,0.84326,0.89158,0.92179,0.87973,0.91955,0.47624,1.61197,0.75407,0.93398,0.0001552,0.0001552,0.0001552
130,27419.9,1.52076,0.82671,0.88716,0.95355,0.88205,0.92842,0.47895,1.62908,0.75274,0.93455,0.0001486,0.0001486,0.0001486
131,27632.2,1.5505,0.82649,0.89867,0.9475,0.88666,0.92743,0.48748,1.58998,0.74414,0.93064,0.000142,0.000142,0.000142
132,27859,1.54533,0.83082,0.89042,0.94957,0.8862,0.92895,0.47652,1.60632,0.7478,0.93239,0.0001354,0.0001354,0.0001354
133,28071.2,1.53956,0.81397,0.89728,0.95902,0.87716,0.93111,0.47936,1.60719,0.75477,0.9338,0.0001288,0.0001288,0.0001288
134,28298.6,1.54205,0.83406,0.89411,0.9322,0.89048,0.92346,0.47256,1.61431,0.73757,0.93425,0.0001222,0.0001222,0.0001222
135,28511.2,1.5618,0.84452,0.89197,0.95664,0.87261,0.9299,0.48071,1.59525,0.74251,0.93033,0.0001156,0.0001156,0.0001156
136,28737.3,1.54286,0.81202,0.89414,0.95707,0.88704,0.92952,0.48503,1.58419,0.74117,0.92749,0.000109,0.000109,0.000109
137,28949.8,1.53465,0.83067,0.89279,0.9563,0.88567,0.9306,0.48273,1.58794,0.72517,0.92831,0.0001024,0.0001024,0.0001024
138,29176.4,1.49958,0.80065,0.88614,0.95251,0.88733,0.92562,0.47337,1.6089,0.73706,0.93008,9.58e-05,9.58e-05,9.58e-05
139,29388.7,1.52058,0.81542,0.89574,0.95454,0.89008,0.93083,0.48342,1.58179,0.73631,0.92643,8.92e-05,8.92e-05,8.92e-05
140,29614.3,1.53595,0.82327,0.88903,0.94018,0.88998,0.92857,0.47141,1.63088,0.73588,0.93484,8.26e-05,8.26e-05,8.26e-05
141,29824.6,1.51967,0.78971,0.91708,0.95979,0.86936,0.92306,0.47545,1.63896,0.75924,0.93343,7.6e-05,7.6e-05,7.6e-05
142,30047.6,1.48605,0.77531,0.90429,0.94789,0.88331,0.9256,0.47982,1.61162,0.74715,0.93054,6.94e-05,6.94e-05,6.94e-05
143,30258.1,1.45677,0.74835,0.89568,0.95584,0.87435,0.92775,0.47591,1.62183,0.75508,0.92989,6.28e-05,6.28e-05,6.28e-05
144,30482.8,1.4396,0.75496,0.90721,0.96233,0.86207,0.92167,0.46567,1.63601,0.75713,0.93334,5.62e-05,5.62e-05,5.62e-05
145,30693.7,1.45878,0.75083,0.9099,0.96015,0.85895,0.91836,0.46822,1.62886,0.74909,0.93272,4.96e-05,4.96e-05,4.96e-05
146,30917.7,1.44613,0.75254,0.89416,0.92314,0.87913,0.91356,0.46205,1.64291,0.74976,0.9356,4.3e-05,4.3e-05,4.3e-05
147,31126.8,1.42713,0.72929,0.90426,0.91543,0.8788,0.91756,0.46956,1.63315,0.75117,0.93389,3.64e-05,3.64e-05,3.64e-05
148,31351.2,1.43615,0.72548,0.89588,0.92328,0.88872,0.92114,0.47029,1.6308,0.75353,0.93394,2.98e-05,2.98e-05,2.98e-05
149,31561.3,1.43848,0.74387,0.89443,0.91772,0.89105,0.92082,0.47037,1.62211,0.74733,0.93214,2.32e-05,2.32e-05,2.32e-05
150,31785.5,1.44616,0.74814,0.90397,0.92366,0.89091,0.92509,0.47563,1.6149,0.747,0.93101,1.66e-05,1.66e-05,1.66e-05
